Season,Year,Name,Age,Hometown,Occupation,Eliminated
15,2011,Jill Ruskowski,28,"Frisco, Texas",Sales director,Eliminated in episode 1
15,2011,Lacey Garbelman,27,"Tampa, Florida",Insurance agent,Eliminated in episode 1
15,2011,Lauren Moore,26,"Culpeper, Virginia",High School Teacher,Eliminated in episode 1
15,2011,Lisa P.,27,"Dix Hills, New York",Sales Consultant,Eliminated in episode 1
15,2011,Rebecca,30,"Mission Viejo, California",Esthetician,Eliminated in episode 1
15,2011,Renee Halpin,28,"Palos Hills, Illinois",Nanny,Eliminated in episode 1
15,2011,Sarah Ledtke,25,"Saginaw, Michigan",Musical Theatre Performer,Eliminated in episode 1
16,2012,Courtney Robertson,28,"Scottsdale, Arizona",Model,Winner
16,2012,Lindzi Cox,27,"Newcastle, Washington",Business development manager,Runner-up
16,2012,Nicki Sterling,26,"Hurst, Texas",Dental hygienist,Eliminated in episode 9
16,2012,Kacie Boguskie,24,"Clarksville, Tennessee",Administrative assistant,Eliminated in episode 8
16,2012,Emily O'Brien,27,"Chapel Hill, North Carolina",PhD Student,Eliminated in episode 7
16,2012,Rachel Truehart,27,"Southampton, Massachusetts",Fashion sales representative,Eliminated in episode 7
16,2012,Jamie Otis,25,"Dryden, New York",Registered nurse,Eliminated in episode 6
16,2012,Casey Shteamer,26,"Leawood, Kansas",Trading clerk,Removed in episode 6
16,2012,Blakeley Jones,33,"Rutherfordton, North Carolina",VIP cocktail waitress,Eliminated in episode 6
16,2012,Jennifer Fritsch,28,"Cache, Oklahoma",Accountant,Eliminated in episode 5
16,2012,Elyse Myers,24,"Chicago, Illinois",Personal trainer,Eliminated in episode 5
16,2012,Monica Spannbauer,33,"Yuba, California",Dental consultant,Eliminated in episode 4
16,2012,Samantha Levey,26,"Pittsburgh, Pennsylvania",Advertising account manager,Eliminated in episode 4
16,2012,Jaclyn Swartz,27,"Newton, Massachusetts",Advertising account manager,Eliminated in episode 3
16,2012,Erika Uhlig,23,"Charlottesville, Virginia",Law student,Eliminated in episode 3
16,2012,Brittney Schreiner,26,"Colorado Springs, Colorado",Medical sales representative,Quit in episode 3
16,2012,Shawn Reynolds,28,"Cincinnati, Ohio",Financial advisor,Eliminated in episode 2
16,2012,Jenna Burke,27,"Loveland, Ohio",Blogger,Eliminated in episode 2
16,2012,Amber Bacon,23,"Port Coquitlam, British Columbia",Labor and delivery nurse,Eliminated in episode 1
16,2012,Amber Tierney,28,"Waverly, Nebraska",Critical care nurse,Eliminated in episode 1
16,2012,Anna Snowball,25,"Detroit, Michigan",Student,Eliminated in episode 1
16,2012,Dianna Martinez,30,"San Gabriel, California",Nonprofit director,Eliminated in episode 1
16,2012,Holly Johnson,34,"Salyersville, Kentucky",Pharmaceutical sales representative,Eliminated in episode 1
16,2012,Lyndsie James,29,"London, England",Internet entrepreneur,Eliminated in episode 1
16,2012,Shira Astrof,35,"Massapequa Park, New York",Actress,Eliminated in episode 1
17,2013,Catherine Giudici,26,"Seattle, Washington",Graphic Designer,Winner
17,2013,Lindsay Yenter,24,"Fort Bragg, North Carolina",Substitute Teacher,Runner-up
17,2013,AshLee Frazier,32,"Houston, Texas",Personal Organizer,Eliminated in episode 9
17,2013,Desiree Hartsock,26,"Northglenn, Colorado",Bridal Stylist,Eliminated in episode 8
17,2013,Lesley Murphy,24,"Fort Smith, Arkansas",Political Consultant,Eliminated in episode 7
17,2013,Tierra LiCausi,24,"Las Vegas, Nevada",Leasing Consultant,Eliminated in episode 7
17,2013,Daniella McBride,24,"Belmont, California",Commercial Casting Associate,Eliminated in episode 6
17,2013,Selma Alameri,29,"San Diego, California",Real Estate Dealer,Eliminated in episode 6
17,2013,Sarah Herron,26,"Evergreen, Colorado",Advertising Executive,Eliminated in episode 6
17,2013,Robyn Howard,24,"Houston, Texas",Oil Field Account Manager,Eliminated in episode 5
17,2013,Jackie Parr,25,"Ormond Beach, Florida",Cosmetics Consultant,Eliminated in episode 5
17,2013,Amanda Meyer,26,"Bakersfield, California",Fit Model,Eliminated in episode 4
17,2013,Leslie Hughes,28,"Ruskin, Florida",Poker Dealer,Eliminated in episode 4
